targetID,Likeface,Likeobject
18,0.52,0.0499999999999996
24,0.43,0.13
29,0.59,0.0899999999999997
38,0.26,0.0699999999999998
4,0.58,0.12
31,0.77,0.45
15,0.05,0.14
36,0,0.95
39,0.68,0.22
20,0.74,0.73
34,0.79,0.12
38,0.2,0.0999999999999999
2,1,0.15
4,0.63,0.12
35,0.63,0.63
20,0.63,0.6
10,0.0599999999999995,0.239999999999999
21,0.840000000000001,0.69
39,0.72,0.0699999999999995
37,0.41,0.219999999999999
18,0.0199999999999999,0.17
14,1,0
34,0.79,0.13
5,0.58,0.35
22,0.18,0.3
13,0.22,0.36
37,0.48,0.17
27,0.93,0.17
23,0.93,0.0699999999999998
33,0.19,0.12
11,0.890000000000001,0.65
40,0.83,0.21
24,0.75,0.63
25,0.79,0.62
11,0.920000000000001,0.41
28,0.95,0.62
17,0.72,0.61
26,0.0599999999999999,0.11
7,1,0.15
19,1,0.31
24,0.72,0.66
16,0.15,0.91
29,0.15,0.54
6,0.59,0.32
23,1,0.16
14,1,0.29
40,0.78,0.26
25,0.81,0.63
22,0.64,0.41
19,1,0.33
13,0.41,0.26
3,1,0.12
16,0,0.91
6,0.15,0.4
12,0.92,0.36
26,0.28,0.19
32,0.900000000000001,0.31
33,0.38,0.69
8,1,0.32
33,0.33,0.55
27,1,0.61
26,0.31,0.57
36,0.19,0.94
7,1,0.38
28,1,0.43
37,0.23,0.62
32,0.820000000000001,0.34
3,1,0.25
5,0.81,0.28
1,0.77,0.77
13,0.67,0.54
27,0.9,0.53
18,0.67,0.8
31,0.880000000000001,0.6
15,1,0.2
28,1,0.3
21,0.700000000000001,0.27
32,1,0.19
10,0.56,0.17
36,0.249999999999999,0.91
39,0.59,0.74
10,0.62,0.189999999999999
11,0.810000000000001,0.2
30,0.57,0.159999999999999
22,0.44,0.219999999999999
2,0.3,0.129999999999999
9,0.42,0.309999999999999
20,0.89,0.65
3,1,0.22
19,0.930000000000001,0.35
35,0.53,0.3
25,0.62,0.32
14,0.91,0.359999999999999
30,0.59,0.2
4,0.72,0.72
30,0.61,0.2
29,0.39,0.36
1,0.219999999999999,0.37
15,0.86,0.239999999999999
8,0.9,0.239999999999999
1,0.55,0.36
16,0.0799999999999999,0.820000000000001
7,1,0.42
2,0.36,0.34
12,0.81,0.33
17,0.2,0.29
40,0.68,0.81
5,0.51,0.78
12,0.68,0.34
8,0.860000000000001,0.289999999999999
34,0.8,0.55
35,0.84,0.36
6,0.0799999999999997,0.179999999999999
23,1,0.11
31,0.81,0.42
9,0.39,0.3
17,0.32,0.409999999999999
38,0.58,0.37
21,0.71,0.55
9,0.35,0.45
