targetID,Likeface,Likeobject
11,0.860000000000001,0.36
18,0.24,0.92
4,0.82,0.229999999999999
8,0.850000000000001,0.12
4,0.67,0.59
3,0.87,0.71
16,0.16,0.88
20,0.91,0.36
35,0.15,0.9
17,0.239999999999999,0.89
26,0.57,0.83
5,0.48,0.85
38,0.12,0.91
24,0.93,0.41
5,0.86,0.2
18,0.87,0.54
25,0.56,0.4
36,0.2,0.92
24,0.830000000000001,0.21
38,0.31,0.85
12,0.920000000000001,0.78
31,0.93,0.82
39,0.17,0.86
6,0.37,0.81
15,0.65,0.840000000000001
6,0.28,0.88
9,0.14,0.8
29,0.68,0.820000000000001
38,0.41,0.81
14,0.74,0.79
22,0.64,0.8
28,0.83,0.62
19,0.61,0.83
35,0.57,0.8
36,0.21,0.88
2,0.36,0.81
8,0.91,0.2
21,0.62,0.81
21,0.74,0.6
11,0.9,0.6
30,0.63,0.880000000000001
31,0.820000000000001,0.82
8,0.94,0.18
25,0.74,0.61
17,0.35,0.82
28,0.88,0.62
40,0.880000000000001,0.6
23,0.83,0.61
33,0.36,0.86
39,0.43,0.83
1,0.67,0.71
33,0.2,0.84
16,0.16,0.9
14,0.78,0.77
14,0.83,0.81
37,0.2,0.82
26,0.37,0.87
39,0.39,0.850000000000001
3,0.68,0.79
13,0.71,0.82
18,0.68,0.81
32,0.7,0.81
12,0.84,0.7
30,0.56,0.81
13,0.69,0.8
6,0.32,0.81
23,0.84,0.67
27,0.840000000000001,0.66
34,0.53,0.68
16,0.13,0.89
10,0.21,0.59
27,0.81,0.37
32,0.9,0.21
27,0.870000000000001,0.56
19,0.32,0.81
17,0.41,0.81
4,0.84,0.62
25,0.42,0.55
9,0.35,0.34
12,0.81,0.2
30,0.29,0.81
40,0.86,0.179999999999999
10,0.19,0.83
24,0.76,0.64
34,0.53,0.35
31,0.8,0.25
21,0.8,0.3
20,0.88,0.31
32,0.89,0.2
33,0.179999999999999,0.83
2,0.189999999999999,0.8
20,0.88,0.24
37,0.14,0.860000000000001
40,0.87,0.49
13,0.21,0.820000000000001
29,0.68,0.820000000000001
5,0.66,0.63
3,0.75,0.52
19,0.63,0.68
7,0.69,0.41
2,0.33,0.82
23,0.81,0.36
34,0.53,0.65
28,0.860000000000001,0.56
7,0.82,0.62
7,0.8,0.67
1,0.79,0.59
22,0.72,0.59
22,0.8,0.55
36,0.14,0.97
15,0.34,0.89
10,0.139999999999999,0.790000000000001
9,0.05,0.8
26,0.79,0.45
1,0.75,0.71
15,0.199999999999999,0.82
37,0.15,0.85
11,0.900000000000001,0.12
35,0.07,0.78
29,0.72,0.68
