targetID,Likeface,Likeobject
38,0.85,0.76
12,0.62,0.51
22,0,0.45
20,0.65,0.43
26,0,0.24
35,0.64,0.37
38,0.7,0.54
7,0.8,0.42
14,0.91,0.8
12,1,1
1,0.83,0.73
8,1,1
27,0.62,0.68
24,0.63,0.81
22,0,0
27,0.65,0.86
3,0.54,0.62
1,1,0.9
3,0.67,0.7
19,1,1
30,0.67,0.71
20,1,1
26,0,0
23,0.8,0.84
24,0.76,0.76
18,0.73,0.68
33,0.5,0.28
2,0.17,0
5,0.6,0.59
11,1,1
4,1,1
20,1,1
3,0.61,0.65
29,0.7,0.61
6,0.73,0.59
39,0.78,0.72
13,0.79,0.79
14,1,1
18,0.64,0.57
28,1,1
29,0.63,0.81
16,0.47,0.61
35,0.87,1
10,0.57,0.51
32,0.92,1
18,0.8,0.86
40,0.6,0.65
34,0.8,0.78
10,0.67,0.69
13,0.93,0.830000000000001
11,1,1
2,0,0
30,0.76,0.66
10,0.78,0.68
40,0.3,0.79
25,0.37,0.33
39,0.86,0.87
21,0.58,0.69
15,0.3,0.34
31,1,1
19,1,1
17,0.8,0.72
16,0.18,0.67
16,0.219999999999999,0.65
36,0.34,0.71
23,0.59,0.64
37,0.65,0.77
7,1,1
19,1,1
4,1,1
35,0.7,0.79
15,0.6,0.78
31,1,1
1,0.81,0.880000000000001
5,0.71,0.7
13,0.78,0.86
21,0.55,0.61
17,0.78,0.92
17,0.85,0.9
24,0.780000000000001,0.880000000000001
26,0,0.329999999999999
9,0.65,0.7
11,1,1
33,0.71,0.69
40,0.61,0.81
39,0.68,0.78
21,0.6,0.33
31,1,1
34,0.67,0.820000000000001
37,0.42,0.39
29,0.67,0.84
37,0.52,0.64
36,0.26,0.57
12,1,1
2,0,0.33
6,0.81,0.64
28,1,1
38,0.830000000000001,0.94
34,0.94,0.83
4,1,1
30,0.86,0.95
8,1,1
27,0.7,0.91
14,0.82,0.940000000000001
33,0.74,0.9
23,0.8,0.89
5,0.82,0.79
9,0.78,0.91
15,0.67,0.86
25,0.41,0.68
25,0.41,0.81
8,1,1
28,1,1
32,0.84,0.91
7,1,1
36,0.24,0.64
22,0,0.11
6,0.850000000000001,0.72
9,0.56,0.56
32,0.89,1
