targetID,Likeface,Likeobject
37,0.78,0.249999999999999
37,0.76,0.259999999999999
21,0.84,0.26
23,0.79,0.32
9,0.29,0.52
21,0.81,0.26
38,0.169999999999999,0.81
20,0.52,0.4
21,0.83,0.26
8,1,0.03
37,0.64,0.33
27,0.63,0.21
16,0.209999999999999,0.86
25,0.75,0.249999999999999
24,0.62,0.37
38,0.5,0.17
11,1,0.11
16,0.00999999999999997,0.91
35,0.16,0.61
17,0.16,0.14
7,0.92,0.18
33,0.21,0.62
25,0.58,0.38
32,0.79,0.289999999999999
4,0.61,0.39
32,0.83,0.36
19,0.92,0.22
8,1,0.08
35,0.46,0.43
22,0.46,0.71
9,0.32,0.49
28,0.940000000000001,0.179999999999999
15,0.56,0.51
24,0.8,0.2
20,0.61,0.339999999999999
8,0.99,0.169999999999999
6,0.65,0.16
17,0.28,0.82
14,1,0.25
29,0.52,0.35
22,0.0999999999999995,0.33
11,0.91,0.21
30,0.38,0.83
12,0.94,0.21
31,0.870000000000001,0.16
27,0.4,0.48
9,0.26,0.68
24,0.900000000000001,0.21
18,0.19,0.77
34,0.189999999999999,0.85
30,0.39,0.66
1,0.49,0.87
36,0.0699999999999998,0.94
2,0.18,0.77
3,0.48,0.48
19,0.93,0.16
14,0.87,0.119999999999999
18,0.189999999999999,0.76
39,0.85,0.18
36,0.13,0.93
31,0.87,0.12
4,0.86,0.31
28,0.980000000000001,0.2
2,0.0999999999999995,0.58
30,0.419999999999999,0.8
16,0.09,0.83
23,0.65,0.31
6,0.850000000000001,0.36
11,0.81,0.19
28,0.86,0.209999999999999
13,0.59,0.22
32,0.87,0.23
39,0.8,0.17
10,0.56,0.42
25,0.57,0.6
33,0.6,0.42
26,0.49,0.6
7,0.960000000000001,0.15
13,0.890000000000001,0.43
26,0.59,0.43
40,0.76,0.75
40,0.72,0.75
27,0.5,0.48
2,0.33,0.81
6,0.7,0.22
12,0.95,0.33
26,0.79,0.55
29,0.2,0.65
38,0.2,0.96
15,0.68,0.38
5,0.31,0.88
29,0.179999999999999,0.79
36,0,0.92
23,0.62,0.46
12,0.980000000000001,0.19
10,0.34,0.77
3,0.47,0.8
31,1,0.18
19,0.940000000000001,0.13
34,0.78,0.24
1,0.57,0.8
40,0.66,0.7
7,0.91,0.12
20,0.790000000000001,0.29
17,0.17,0.69
18,0.0499999999999998,0.79
1,0.58,0.63
3,0.63,0.38
14,1,0.149999999999999
13,0.88,0.179999999999999
22,0.15,0.58
4,0.85,0.36
15,0.51,0.28
39,0.880000000000001,0.25
33,0.08,0.8
34,0.86,0.19
10,0.29,0.61
5,0.43,0.35
35,0.32,0.37
5,0.38,0.36
