targetID,Likeface,Likeobject
11,1,0.25
11,1,0.24
20,0.74,0.51
3,0.25,0.25
25,0,1
31,0.77,0.76
4,1,0.24
34,0.24,1
14,0.76,0.5
16,0,1
22,0,0.76
19,1,0.25
12,1,0.49
18,0,0.25
26,0,0
35,0,0.5
16,0,0.76
17,0.49,0.26
1,0.51,0.74
3,0.75,0.75
17,0.259999999999999,0.73
5,0.26,0.76
1,0.249999999999999,0.5
15,0,0.49
8,1,0.26
38,0.49,0.52
32,0.49,0.25
2,0,0.249999999999999
26,0,0.25
37,0.26,0.49
40,0.26,0.73
23,0,0.24
40,0.24,0.24
7,1,0.27
39,0.75,0.52
8,1,0.5
30,0,0.239999999999999
21,0,0.26
2,0,0.25
7,1,0.51
19,0.74,0.49
27,0.73,0.73
33,0.26,0.23
18,0,0.73
20,0.71,0.75
19,1,0.49
40,0.5,0.5
21,0.22,0.259999999999999
32,0.76,0.52
15,0,0.74
35,0,0.77
28,1,0.25
22,0,0.24
24,0.76,0.75
23,0,1
12,1,0.73
20,0.74,0.74
17,0.5,0.74
9,0.25,0.46
4,0.780000000000001,0.52
23,0,1
33,0.49,0.73
12,0.74,0.76
37,0.24,0.49
39,0.49,0.51
27,0.76,0.76
31,0.65,0.76
5,0.64,0.76
30,0,0.1
18,0,0.77
22,0,0.51
6,0,0.75
36,0,0.99
5,0.64,0.75
38,0.62,0.76
26,0,0.249999999999999
1,0.229999999999999,0.5
34,0.64,1
35,0,0.26
2,0,0.119999999999999
13,0.76,0.75
24,0.76,0.76
3,1,0.77
29,0.24,0.249999999999999
13,0.75,0.76
14,0.77,0.51
15,0.49,0.5
31,0.74,0.49
6,0.00999999999999997,0.26
30,0,0.21
14,1,0.52
36,0,1
37,0.5,0.76
32,0.770000000000001,0.75
7,1,0.49
9,0.24,0.259999999999999
10,0,0.24
24,0.74,0.74
34,0.76,1
4,0.76,0.76
25,0.15,0.51
25,0.15,0.47
6,0.01,0.25
28,0.98,0.74
29,0.52,0.49
9,0.51,0.5
21,0.25,0.24
38,0.63,0.5
33,0.51,0.5
16,0,0.750000000000001
10,0,0.26
28,0.990000000000001,0.78
36,0,1
27,0.85,0.74
39,0.87,0.76
11,0.86,0.74
29,0.49,0.48
8,0.880000000000001,0.51
10,0,0.27
13,0.49,0.5
