targetID,Likeface,Likeobject
12,0.7,0.36
21,0.0999999999999997,0.82
13,0.56,0.59
35,0.04,1
24,0.17,0.920000000000001
14,0.86,0.16
36,0.0599999999999999,0.86
7,0.06,1
15,0.0499999999999996,0.930000000000001
31,0.88,0.78
28,0.63,0.63
1,0.0599999999999999,0.68
16,0,0.76
32,0.78,0.9
14,0.68,0.34
34,0.66,0.65
2,0,0.73
6,0.09,0.8
11,0.88,0.36
4,0.01,1
34,0.82,0.72
22,0.0799999999999995,0.88
35,0,0.820000000000001
3,0.209999999999999,0.97
2,0.21,1
26,0.0699999999999995,0.840000000000001
33,0.35,0.75
40,0.05,0.84
4,0.299999999999999,0.86
40,0.38,0.8
18,0,1
32,0.61,0.83
18,0.15,0.910000000000001
5,0.82,0.41
13,0.81,0.38
24,0,0.71
22,0.219999999999999,0.83
3,0.35,0.92
32,0.78,0.429999999999999
25,0.299999999999999,1
9,0.2,0.8
20,0.15,0.820000000000001
29,1,0.95
17,0.93,0.59
10,0.11,1
27,0.13,0.64
7,0.309999999999999,0.73
15,0.29,0.71
8,0.26,1
1,0.71,0.37
23,0.81,0.5
16,0.06,0.76
15,0.31,0.860000000000001
37,0.45,0.79
35,0.37,0.75
9,0.36,0.66
10,0.26,0.88
38,0.05,0.69
6,0.34,0.79
25,0.52,0.98
26,0.309999999999999,0.69
25,0.32,0.69
21,0.27,0.82
31,0.84,0.72
19,0.900000000000001,0.27
23,0.51,0.6
8,0.79,0.27
28,0.86,0.2
29,0.28,0.76
30,0.08,0.91
3,0.37,0.77
31,0.76,0.08
5,0.16,1
40,0.31,0.73
33,0.68,0.69
9,0.27,0.88
39,1,0.37
36,0.299999999999999,1
36,0.199999999999999,1
12,1,0.35
29,0.54,1
20,0.59,0.76
5,0,0.920000000000001
22,0.36,0.8
30,0.46,0.88
8,0.820000000000001,0.18
30,1,0.15
37,0,0.56
4,0.71,0.43
23,0.349999999999999,1
34,0.68,0.41
21,0.03,0.940000000000001
7,0.79,0.19
26,0.299999999999999,0.820000000000001
14,0.78,0.25
27,0.46,0.88
17,0.4,0.78
11,0.84,0.32
19,1,0.24
38,0.15,0.62
18,0.28,0.77
39,0.820000000000001,0.309999999999999
6,0.24,0.65
19,1,0.27
2,0.0599999999999998,0.85
38,0.33,0.81
37,0.49,0.91
39,0.960000000000001,0.16
12,0.68,0.349999999999999
33,0.71,0.42
17,0.39,0.68
1,0.35,0.61
13,0.63,0.21
10,0.289999999999999,0.71
24,0.29,0.62
11,0.84,0.32
28,0.75,0.01
20,0.81,0.03
16,0.279999999999999,0.72
27,0.73,0.72
