targetID,Likeface,Likeobject
6,0.64,0.78
38,0.75,0.74
38,0.75,0.75
29,0.06,0.39
17,0.2,0.18
21,0.54,0.81
36,0,0.930000000000001
18,0.259999999999999,0.86
35,0.89,0.88
27,0.0699999999999996,0.11
16,0.0299999999999996,0.93
32,0.92,0.91
31,0.6,0.95
6,0.75,0.87
28,0.97,0.830000000000001
14,0.860000000000001,0.830000000000001
3,0.0999999999999999,0.149999999999999
29,0.139999999999999,0.249999999999999
23,0.08,0.179999999999999
21,0.57,0.8
2,0.0499999999999998,0.0999999999999998
3,0.0699999999999993,0.11
7,0.25,0.0999999999999992
20,0.73,0.860000000000001
40,0.81,0.930000000000001
17,0.109999999999999,0.129999999999999
40,0.830000000000001,0.840000000000001
6,0.84,0.81
4,0.84,0.85
14,0.77,0.82
23,0.1,0.11
19,0.87,0.89
27,0.13,0.139999999999999
37,0.09,0.12
30,0.06,0.42
13,0.64,0.74
1,0.86,0.87
8,0.98,0.96
25,0.12,0.51
34,0.119999999999999,0.12
12,0.770000000000001,0.84
33,0.169999999999999,0.22
18,0.13,0.55
7,0.14,0.19
5,0.11,0.24
1,0.91,0.890000000000001
20,0.69,0.720000000000001
10,0.109999999999999,0.14
26,0.15,0.249999999999999
4,0.92,0.910000000000001
30,0.05,0.03
26,0.0399999999999993,0.26
12,0.9,0.900000000000001
18,0.29,0.74
8,0.940000000000001,0.93
3,0.11,0.119999999999999
15,0.11,0.69
16,0.05,0.87
35,0.0899999999999997,0.45
15,0.07,0.71
11,0.89,0.91
35,0.28,0.7
39,0.42,0.67
21,0.57,0.85
1,0.9,0.92
22,0.14,0.69
24,0.33,0.67
7,0.17,0.24
31,0.269999999999999,0.87
10,0.129999999999999,0.08
34,0.37,0.75
25,0.119999999999999,0.17
29,0.11,0.14
28,0.92,0.9
24,0.56,0.850000000000001
12,0.870000000000001,0.910000000000001
33,0.0699999999999995,0.0999999999999996
39,0.17,0.59
13,0.56,0.93
32,0.14,0.890000000000001
37,0.0699999999999999,0.18
32,0.179999999999999,0.78
27,0.12,0.18
39,0.14,0.63
19,0.89,0.940000000000001
11,0.72,0.930000000000001
34,0.209999999999999,0.69
9,0.0799999999999998,0.0999999999999999
2,0.109999999999999,0.12
22,0.12,0.219999999999999
31,0.24,0.64
19,0.9,0.890000000000001
14,0.92,0.9
36,0.0799999999999998,0.92
40,0.79,0.950000000000001
15,0.28,0.66
8,0.880000000000001,0.93
38,0.84,0.85
23,0.11,0.129999999999999
28,0.77,0.86
9,0.119999999999999,0.1
11,0.75,0.9
13,0.58,0.79
20,0.16,0.15
33,0.12,0.12
24,0.59,0.88
4,0.9,0.92
5,0.11,0.3
2,0.109999999999999,0.1
17,0.109999999999999,0.63
22,0.0599999999999996,0.67
10,0.05,0.209999999999999
5,0.0599999999999999,0.62
37,0.0899999999999997,0.119999999999999
9,0.09,0.12
26,0.199999999999999,0.22
16,0.0999999999999995,0.82
36,0.0799999999999999,0.91
25,0.0899999999999997,0.1
30,0.11,0.13
